sex	status	age	survived
discrete	discrete	discrete	continuous
			class
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	1.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
male	first	adult	0.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
